districts,total_no_of_community_schools,total_no_of_schools_with_toilet_facilities,percentage_of_schools_with_toilet_facilities,total_no_of_toilet_facilities_inclusive_of_each_toilet_item,total_no_of_toilets_for_girl_students_with_items_facilities,percentage_of_separate_toilets_for_girls_with_items_facilities,total_students_boys_and_girls,toilet_to_student_ratio,percentage_of_schools_with_separate_toilets_for_girls,districts_ranked_by_girl_students_access_to_school_sanitation
MORANG,535,517,97,2311,879,38,216862,1:94,74,1
CHITWAN,381,364,96,1592,587,37,98607,1:62,70,2
DHANUSHA,316,215,68,512,250,49,151538,1:296,66,3
KASKI,439,411,94,1377,477,35,66599,1:48,65,4
KATHMANDU,299,213,71,1014,456,45,101093,1:100,64,5
BAGLUNG,528,448,85,1280,473,37,85822,1:67,63,6
BARDIYA,288,255,89,1159,408,35,122410,1:106,62,7
JHAPA,407,361,89,1471,503,34,139752,1:95,61,8
BHAKTAPUR,137,123,90,461,150,33,21283,1:46,58,9
ILAM,433,362,84,920,321,35,70557,1:77,58,10
KAILALI,508,412,81,1717,616,36,199475,1:116,58,11
TANAHU,558,411,74,1081,424,39,77912,1:72,58,12
LALITPUR,207,182,88,634,206,32,41231,1:65,57,13
KANCHANPUR,262,215,82,829,287,35,117333,1:142,57,14
RAUTAHAT,393,248,63,774,339,44,170062,1:220,55,15
DADELDHURA,243,164,67,415,165,40,44748,1:108,54,16
BANKE,303,206,68,694,264,38,112601,1:162,52,17
DANG,389,279,72,849,306,36,129702,1:153,52,18
PARSA,315,203,64,575,230,40,133249,1:232,52,19
BAJHANG,430,201,47,555,295,53,73064,1:132,50,20
SUNSARI,482,312,65,1111,423,38,155045,1:140,49,21
MAHOTTARI,306,179,58,397,165,42,145085,1:365,49,22
MAKWANPUR,522,337,65,936,352,38,117205,1:125,49,23
OKHALDHUNGA,349,252,72,518,172,33,55611,1:107,48,24
PARBAT,336,285,85,797,217,27,46536,1:58,46,25
KAVREPALANCHOK,587,443,75,1396,425,30,102633,1:74,46,26
TERHATHUM,240,173,72,421,134,32,41732,1:99,46,27
GULMI,554,394,71,11110,350,3,93707,1:84,45,28
DOLPA,118,72,61,162,58,36,9783,1:60,44,29
RUPANDEHI,351,231,66,1022,339,33,145462,1:142,44,30
NUWAKOT,475,328,69,801,248,31,72792,1:91,43,31
PANCHTHAR,391,285,73,634,181,29,73270,1:116,42,32
MUSTANG,61,52,85,128,31,24,2152,1:17,41,33
ARGHAKHANCHI,406,242,60,565,195,35,64611,1:14,41,34
PALPA,451,385,85,1059,251,24,83332,1:79,40,35
DOTI,371,218,59,561,193,34,69665,1:124,40,36
UDAYAPUR,416,256,62,745,244,33,104981,1:141,40,37
KAPILBASTU,465,239,51,817,310,38,136003,1:166,39,38
DHANKUTA,313,269,86,671,150,22,48442,1:72,38,39
SAPTARI,318,242,76,653,164,25,83639,1:128,38,40
MYAGDI,241,214,89,534,114,21,30209,1:57,38,41
BARA,402,209,52,547,199,36,186513,1:341,38,42
GORKHA,501,330,66,817,229,28,81243,1:99,37,43
SALYAN,391,209,53,426,146,34,79362,1:186,37,44
PYUTHAN,340,193,57,562,177,31,66873,1:119,36,45
SIRAHA,434,252,58,689,212,31,155858,1:226,36,46
SURKHET,532,330,62,877,251,29,110424,1:126,36,47
SOLUKHUMBU,286,235,82,517,106,21,38875,1:75,34,48
BHOJPUR,392,293,75,703,154,22,61651,1:88,33,49
SANKHUWASABHA,385,281,73,704,154,22,52494,1:75,32,50
BAITADI,525,223,42,621,231,37,95768,1:154,32,51
MANANG,31,22,71,46,10,22,852,1:19,31,52
SINDHULI,564,291,52,689,206,30,119716,1:174,31,53
SYANGJA,546,446,82,1042,190,18,78426,1:75,30,54
SARLAHI,432,227,53,560,149,27,156230,1:279,28,55
LAMJUNG,387,306,79,900,158,18,50539,1:56,28,56
NAWALPARASI,507,399,79,1164,205,18,146166,1:126,28,57
HUMLA,121,49,40,106,36,34,16985,1:160,28,58
TAPLEJUNG,332,246,74,581,106,18,74486,1:128,27,59
DOLAKHA,389,274,70,723,127,18,66156,1:92,25,60
RASUWA,103,97,94,147,19,13,12646,1:86,24,61
BAJURA,248,107,43,232,65,28,48357,1:208,24,62
DHADING,568,144,25,428,172,40,104245,1:244,20,63
ACHHAM,487,147,30,327,109,33,105881,1:324,20,64
KHOTANG,474,314,66,691,104,15,71479,1:103,20,65
RAMECHHAP,470,275,59,498,83,17,82959,1:167,20,66
MUGU,130,29,22,84,32,38,16760,1:200,17,67
JAJARKOT,390,102,26,159,48,30,86189,1:542,16,68
ROLPA,391,170,43,354,53,15,77753,1:220,13,69
JUMLA,147,29,20,78,19,24,32408,1:415,10,70
KALIKOT,281,88,31,159,20,13,50299,1:316,8,71
DAILEKH,492,104,21,130,14,11,102068,1:785,5,72
SINDHUPALCHOK,538,145,27,266,13,5,95096,1:358,3,73
DARCHULA,345,23,7,47,9,19,43897,1:934,3,74
RUKUM,372,114,31,223,0,0,87981,1:397,0,75
